sub,root,pre,entity,sub_adj,pre_adj 
组织,申报,企业,组织|2018年|省|服务型|企业,空,组织|申报|2018年|省|服务型|制造|示范|企业
组织,申报,重点项目,组织|2018年|技术创新|重点项目,空,组织|申报|2018年|省级|技术创新|重点项目
空,开展,工作,国家|平台|基地|情况,空,开展|国家|示范|平台|和|示范|基地|运营|情况|检查|工作
中小企业,发展,要点,2018年|福建省|类|金融机构|要点,福建省,2018年|中小企业|发展|和|类|金融机构|监管|工作|要点
组织,申报,物流园区,组织|2018年|物流园区,空,组织|申报|2018年|省级|示范|物流园区
典当行,设立,方案,福建省|2017年度|方案,福建省|2017年度,典当行|设立|审批|工作|方案
空,做好,工作,2018年|税收|优惠政策,空,做好|2018年|重大|技术装备|进口|税收|优惠政策|申报|工作
智能,征集,重点项目,2018年|福建省|智能|重点项目,福建省,征集|2018年|智能|制造|重点项目
空,做好,工作,2018年|省|重点|技术改造|项目,空,做好|2018年|省|重点|技术改造|项目|申报|工作
工业,指导,意见,工业|信息化部 财政部|公共服务|平台|网络|意见,信息化部 财政部,工业|和|关于|推动|中小企业|公共服务|平台|网络|有效|运营|的|指导|意见
空,目录,服务,智慧|健康|产品|目录,空,智慧|健康|养老|产品|及|服务|推广|目录
空,发布,名录,福建省|制造业|单项|冠军|企业|名录,空,发布|福建省|制造业|单项|冠军|企业|名录
空,公布,名单,2017年|福建省|智能|装备|名单,空,公布|2017年|第二批|福建省|首|台|重大|技术装备|和|智能|制造|装备|名单
服务型,公布,名单,2017年|省|服务型|公共服务|平台|名单,空,公布|2017年|省|服务型|制造|公共服务|平台|名单
空,公布,名单,2017年|福建省|智能|样板|工厂|项目|名单,空,公布|2017年|福建省|智能|制造|样板|工厂|示范|项目|名单
空,征集,专家,服务型|专家,空,征集|服务型|制造|专家
中小企业,促进,条例,福建省|条例,空,福建省|促进|中小企业|发展|条例
服务型,公示,平台,2017年|省|服务型|公共服务|平台|名单,空,2017年|省|服务型|制造|公共服务|平台|名单|公示
空,公布,名单,2017年|福建省|企业|基地|名单,空,公布|2017年|福建省|小型|微型|企业|创业|创新|示范|基地|名单
专精,公布,名单,2017年|福建省|名单,空,公布|2017年|福建省|“|专精|特|新|”|中小企业|名单
空,公布,名单,2017年|物流园区|名单,空,公布|2017年|省级|示范|物流园区|名单
企业,公布,公告,2017年|福建省|企业|企业名单|公告,福建省,公布|2017年|企业|管理|咨询|诊断|活动|企业名单|的|公告
专精,认定,名单,福建省|福建省|企业|基地|名单,空,拟|认定|福建省|“|专精|特|新|”|中小企业|和|福建省|小型|微型|企业|创业|创新|示范|基地|名单
空,营造,意见,企业家|健康成长|环境|企业家|精神|企业家|作用|意见,空,营造|企业家|健康成长|环境|弘扬|优秀|企业家|精神|更好|发挥|企业家|作用|的|意见
空,征集,需求,新能源|汽车产业|技术|需求|项目|成果,空,征集|新能源|汽车产业|技术|需求|与|项目|成果
空,公布,名单,福建省|省|企业|技术|中心|名单,空,公布|福建省|第|二十一|批|省|企业|技术|中心|名单
中小企业,促进法,空,中华人民共和国,中华人民共和国,中小企业|促进法
空,降低,成本,实体|经济|企业|成本,空,进一步|降低|实体|经济|企业|成本
工业,发展,指南,福建省|工业|资金|指南,福建省|信息化,工业|和|发展|专项|转移|支付|资金|管理|指南
行业,下达,企业名单,2017年|一季度|铁合金|行业|水|期|电价|企业名单,铁合金,下达|2017年|一季度|行业|执行|弃|水|期|电价|企业名单
稳定增长,实施,激励,当前|工业|稳定增长,工业,实施|当前|稳定增长|正向|激励
空,做好,报送,福建省|工业品|网上|博览会|企业|信息,空,做好|参加|福建省|工业品|网上|博览会|企业|有关|信息|报送
空,做好,工作,2016年|中国|技能|全国|工业|机器人|技术|技能|组织,空,做好|2016年|中国|技能|大赛|——|全国|工业|机器人|技术|应用|技能|大赛|组织|参赛|工作
物流,转发,意见,国家发展改革委|互联网|意见,国家发展改革委|互联网|高效,转发|“|+|”|物流|实施|意见
空,开展,活动,2016年|质量|标杆,空,开展|2016年|质量|标杆|活动
组织,申报,奖,组织|2016年|中国|工业|奖,空,组织|申报|2016年|中国|优秀|工业|设计|奖
空,开展,活动,产业|互联网|方案,空,开展|产业|互联网|创新|解决|方案|征集|活动
情况,抓紧,工作,国家政府|社会|资本|项目|情况,项目,抓紧|做好|第三|批|国家政府|和|社会|资本|合作|示范|情况|核实|工作
空,开展,环境,2016年|消费品|工业|市场|环境,空,开展|2016年|消费品|工业|“|三|品|”|专项|行动|营造|良好|市场|环境
企业,做好,人才,年度|中|企业|领军|人才,中|小,做好|2016|-|2017|年度|企业|经营|管理|领军|人才|培训|工作
组织,推荐,企业,组织|年度|国家|技术创新|企业,空,组织|推荐|2016|年度|国家|技术创新|示范|企业
空,征集,需求,化工|新材料|项目|需求,空,征集|化工|新材料|进口|替代|项目|需求
空,项目,空,2016年|企业|技术创新|项目|资金|项目,空,2016年|省级|企业|技术创新|项目|资金|拟|补助|项目
企业,发展,项目,2016年|福建省|中|企业|专项资金|项目,中|小|微,2016年|福建省|企业|发展|专项资金|拟|补助|项目
项目,做好,工作,省|电子信息|产业|项目,产业|集群|创新|发展|专项,做好|省|电子信息|项目|申报|征集|有关|工作
品牌,开展,试点工作,2016年|工业|企业|品牌|试点工作,2016年|企业,开展|工业|品牌|培育|试点工作
空,名单,空,2016年|企业|技术改造|设备|专项资金|项目|名单,空,2016年|省级|企业|技术改造|设备|投资|专项资金|省属|项目|名单
空,工作,空,2016年|国家|千人|计划,空,2016年|国家|“|千人|计划|”|申报|工作
组织,开展,活动,组织|八闽杯|海峡两岸|大学生|工作坊,空,组织|开展|“|八闽杯|”|海峡两岸|大学生|设计|工作坊|活动
企业,下达,专项资金,2016年|福建省|中|企业|专项资金,中|小|微,下达|2016年|福建省|企业|发展|专项资金
空,举办,期,2016年|制造业|洽谈会,空,举办|2016年|制造业|与|融资|租赁|业|对接|洽谈会|第一|期
福建省,开展,工作,福建省|年度|全国|质量|标杆,空,福建省|开展|2016|年度|全国|质量|标杆|推荐|工作
空,评价,暂行办法,福建省|产业|基地|年度|暂行办法,空,福建省|新型|工业化|产业|示范|基地|年度|综合|评价|暂行办法
福州市,征集,需求,福州市|项目|需求,空,福州市|征集|中科院|STS|项目|需求
比例,加快,工作,福建省|企业|比例,企业,福建省|加快|推进|小|微|比例|分担|再|担保|工作
福建省,做好,工作,福建省|年度|重点|企业|能源管理|体系,空,福建省|做好|2016|年度|重点|用|能|企业|能源管理|体系|建设|辅导|和|咨询|工作
福建省,做好,工作,年度|福建省|企业|能源管理|体系,空,做好|2016|年度|福建省|重点|用|能|企业|能源管理|体系|建设|辅导|和|咨询|工作
比例,加快,工作,企业|比例,企业,加快|推进|小|微|比例|分担|再|担保|工作
空,通知,对接会,制造业|企业|企业|对接会|通知,空,举办|制造业|企业|与|融资|租赁|企业|对接会|的|预|通知
项目,推介,方案,2016年|项目|方案,2016年,项目|推介|对接|工作|方案
项目,开展,工作,福建省|2016年|样板|工厂|项目,工厂|示范,福建省|开展|2016年|样板|项目|认定|申报|工作
平台,开展,工作,福建省|2016年|公共服务|平台|企业|基地,公共服务|示范|基地,福建省|开展|2016年|中小企业|平台|和|小|微|企业|创业|认定|工作
空,做好,工作,2016年|工业|质量|品牌,空,做好|2016年|工业|质量|品牌|建设|工作
企业,申报,重点项目,组织|2016年|福建省|企业|重点项目,福建省,组织|申报|2016年|企业|兼并|重组|重点项目
组织,申报,中心,组织|2016年|工业|中心,空,组织|申报|2016年|省级|工业|设计|中心
组织,申报,基地,组织|智能|基地,空,组织|申报|省级|智能|制造|试点|示范|基地
企业,做好,工作,2016年|管理体系|贯标|企业,贯标|试点,做好|2016年|两|化|融合|管理体系|企业|申报|工作
企业,申报,重点项目,组织|2016年|福建省|企业|重点项目,福建省,组织|申报|2016年|企业|兼并|重组|重点项目
中小企业,发展,要点,2016年|福建省|类|金融机构|要点,福建省,2016年|中小企业|发展|和|类|金融机构|监管|工作|要点
网,贯彻,方案,福建省|国务院|网|方案,国务院|三,福建省|贯彻|网|融合|推广|方案
空,做好,工作,税收|优惠政策,空,做好|重大|技术装备|进口|税收|优惠政策|申报|工作
我省,公布,名单,我省|县|智能|基地|名单,空,我省|公布|第一|批|省级|县|智能|制造|试点|示范|基地|名单
空,建立,制度,公共服务|平台|企业|基地|情况|季度|报告|制度,空,建立|省级|中小企业|公共服务|示范|平台|和|小|微|企业|创业|基地|运营|情况|季度|统计|报告|制度
空,鼓励,网络,机构|福建省|公共服务|平台|网络,空,鼓励|各类|服务|机构|入驻|福建省|中小企业|公共服务|平台|网络
空,举办,研修班,2015年|企业|人才|研修班,空,举办|2015年|企业|高级|经营|管理|人才|研修班
空,开展,工作,钢材市场|秩序,空,开展|钢材市场|秩序|专项|整治|工作
空,开展,通知,企业|节|能量|交易|试点|通知,空,开展|燃煤|火电|企业|节|能量|交易|试点|的|预|通知
产权,开展,活动,工业|企业|知识|产权|标杆,企业|知识,开展|工业|产权|运用|标杆|示范|活动
信誉,承诺,公示 ,2015年|福建省|工业|企业|质量|信誉|企业名单|公示 ,质量,2015年|福建省|工业|企业|信誉|承诺|企业名单|公示 
能力,做好,工程,工业|企业|知识|产权|能力|工程,企业|产权|运用,做好|工业|知识|能力|培育|工程|总结
空,举办,招聘会,福建省|2016年|行业|毕业生|专场|招聘会,空,举办|福建省|2016年|IT|行业|毕业生|专场|招聘会
企业,公布,名单,2015年|福建省|企业|名单,福建省|科技型,公布|2015年|第一|批|企业|备案|名单
风险,下达,指标,2015年|福建省|中|企业|专项资金|机构|风险|项目|资金|指标,机构,下达|2015年|福建省|中|小|微|企业|发展|专项资金|“|中小企业|融资|担保|风险|补偿|项目|”|资金|清算|指标
技术,做好,辅导工作,2015年|企业|技术|辅导工作,企业,做好|2015年|技术|提升|辅导工作
空,开展,审计工作,企业|能源|审计工作,空,开展|印染|企业|专项|能源|审计工作
空,开展,审计工作,企业|能源|审计工作,空,开展|造纸|企业|专项|能源|审计工作
企业,开展,工作,铝|铅锌|企业|公告,铝,开展|第三|批|、|铜|、|铅锌|企业|规范|公告|申报|工作
品牌,开展,试点工作,2015年|工业|企业|品牌|试点工作,2015年|企业,开展|工业|品牌|培育|试点工作
空,开展,行动,2015年|企业,空,开展|2015年|扶助|小|微|企业|专项|行动
空,管理,实施办法,福建省|资金|实施办法,空,福建省|就业|补助|资金|管理|实施办法
税收,落实,政策,企业|税收|政策,性,落实|小|微|企业|普惠|税收|减免|政策
券,补助,办法,福建省|科技|专项资金|办法,创新,福建省|科技|券|补助|专项资金|管理|办法
专项资金,发展,暂行办法,福建省|数字|经济|专项资金|暂行办法,空,福建省|数字|经济|发展|专项资金|管理|暂行办法
绩效,下达,资金,中央财政|绩效|资金,中央财政|扶贫,下达|绩效|奖励|资金
空,培育,带头人,贫困村|带头人,空,培育|贫困村|创业|致富|带头人
企业,开展,工作,组织|年度|高新技术|企业,批|省级|高新技术,组织|开展|2018|年度|第二|企业|备案|工作
空,要求,资金,2018年|市场|资金|要求,空,2018年|市场|运行|调节|及|应急|资金|使用|要求
券,下达,专项资金,年度|科技|专项资金,年度|创新,下达|2018|科技|券|补助|专项资金
农业机械,购置,意见,2018-2020年|福建省|农业机械|意见,福建省,2018-2020年|农业机械|购置|补贴|实施|意见
系统,做好,事宜,2019年|国家|高新技术|企业|系统|事宜,管理,做好|2019年|国家|高新技术|企业|认定|系统|填报|相关|事宜
空,做好,大赛,中国|福建,空,做好|第八|届|中国|创新|创业|大赛|暨|第七|届|福建|创新|创业|大赛|报名|工作
军民,征集,科技成果,福建|军民|科技成果|项目,福建,征集|军民|融合|科技成果|及|签约|项目
外国专家,做好,工作,2019年|国家|高端|外国专家|计划,高端,做好|2019年|国家|外国专家|引进|计划|申报|工作
企业,开展,工作,组织|2019年|科技|小巨人|领军|企业,领军,组织|开展|2019年|科技|小巨人|企业|遴选|和|认定|工作
企业,公布,名单,福建省|2018年|技术|先进型|企业|名单,服务,公布|福建省|2018年|技术|先进型|企业|认定|名单
空,做好,工作,年度|科技,空,做好|2019|年度|科技|创新|券|补助|工作
第二批,公示,企业名单,福建省|2018年|高新技术|企业名单,2018年,公示|福建省|第二批|拟|入库|备案|省级|高新技术|企业名单
组织,开展,工作,组织|年度|国家|科学技术|奖提名,空,组织|开展|2019|年度|国家|科学技术|奖提名|工作
质量,申报,工作,组织|年度|福建省|药|质量|疗效|资金,福建省|药|疗效,组织|申报|2018|年度|仿制|质量|和|一致性|评价|资金|补助|工作
空,项目,特派员,组织|法人|科技|特派员|年度|科技|特派员|后|项目,空,组织|法人|科技|特派员|申报|2018|年度|省级|科技|特派员|后|补助|项目
人才,做好,工作,2018年|人才|计划|国家|人|科技|领军|人才|科技|领军|人才,2018年|创新|国家|计划|创新|领军|人才|领军,做好|人才|推进|计划|暨|“|万|人|”|科技|、|科技|创业|人才|推荐|选拔|工作
平台,做好,工作,2018年|国家|人|青年|人才|科技部|平台,科技部,做好|2018年|国家|“|万|人|计划|”|青年|拔尖|人才|平台|申报|推荐|工作
组织,申报,基地,组织|2018年|科技成果|基地|基地,空,组织|申报|2018年|省级|科技成果|产业化|基地|和|产学研|合作|示范|基地
空,征集,项目,中国|国际|高新技术|成果|交易会|项目,空,征集|第二十|届|中国|国际|高新技术|成果|交易会|参展|项目
空,晋级,事项,福建|全国|行业|总决赛赛|事项,空,晋级|福建|创新|创业|大赛|决赛|和|全国|行业|总决赛赛|有关|事项
空,召开,介绍会,年度|工业|领域|省|科技|计划|项目|情况|介绍会,空,召开|2019|年度|工业|领域|省|科技|计划|项目|情况|介绍会
组织,申报,项目,组织|2019年|省|科技|专题|项目,空,组织|申报|2019年|省|科技|重大|专项|专题|备选|项目
项目,加计,意见,福建省|企业|费用|税|前|异议|项目|指导性|意见,异议,福建省|企业|研究|开发|费用|税|前|加计|扣除|项目|鉴定|的|指导性|意见
空,开展,工作,年度|创新型|企业|成果|后|项目,空,开展|2018|年度|创新型|企业|创新|成果|后|补助|项目|评价|工作
空,征集,事项,非洲|科技|成果|事项,空,征集|对|非洲|科技|创新|合作|成果|有关|事项
空,征集,项目,海丝|科技|科技|外交官|技术|专场|项目,空,征集|海丝|科技|创新|合作|暨|科技|外交官|跨国|技术|转移|专场|项目
国家,发布,指南,国家|计划|蓝色|粮仓|科技|重点|2018年度|项目|指南,空,发布|国家|重点|研发|计划|“|蓝色|粮仓|科技|创新|”|等|重点|专项|2018年度|项目|申报|指南
空,举办,大赛,中国|福建,空,举办|第七|届|中国|创新|创业|大赛|暨|第六|届|福建|创新|创业|大赛|复赛
空,核准,企业名单,创新型|企业|创新型|企业名单,空,核准|第一|批|至|第八|批|省级|创新型|企业|及|发布|第九|批|省级|创新型|企业名单
空,公示,企业,福建省|2018年|高新技术|企业,空,公示|福建省|2018年|第二批|拟|更名|高新技术|企业
组织,开展,工作,组织|2018年|福建省|企业|重点|实验室,空,组织|开展|2018年|福建省|企业|重点|实验室|验收|工作
专项资金,引导,项目,2018年|中央|地方|科技|专项资金|企业|项目,空,2018年|中央|引导|地方|科技|发展|专项资金|支持|企业|项目
企业,认定,办法,福建省|技术|先进型|企业|办法,先进型|服务,福建省|技术|企业|认定|管理|办法
空,公布,企业名单,福建省|2018年|高新技术|企业名单,空,公布|福建省|2018年|第一|批|更名|高新技术|企业名单
财政资金,下达,计划,机构|财政资金|科研|仪器设备|软件|后|项目|计划|经费,机构|非,下达|省级|新型|研发|财政资金|购买|科研|仪器设备|软件|后|补助|项目|计划|和|经费
财政资金,下达,计划,机构|财政资金|科研|仪器设备|软件|后|项目|计划|经费,机构|非,下达|省级|新型|研发|财政资金|购买|科研|仪器设备|软件|后|补助|项目|计划|和|经费
企业,公布,情况,2018年|省|科技|小巨人|领军|企业|名单|情况,省|领军,公布|2018年|科技|小巨人|企业|新增|培育|名单|等|情况
空,细则,天地,福建省|天地|细则,空,福建省|星创|天地|管理|细则
批,公示,名单,福建省|创新型|企业|名单,第一|第八,公示|福建省|批|至|批|省级|创新型|企业|核准|名单
空,公告,名单,福建省|2018年|科技型|名单|公告,空,福建省|2018年|第一|批|入库|科技型|中小企业|名单|的|公告
空,开展,工作,2018年|科技|企业|孵化器,空,开展|2018年|科技|企业|孵化器|备案|工作
组织,开展,工作,组织|2018年|技术|机构,空,组织|开展|2018年|第一|批|省级|技术|转移|机构|申报|工作
企业,备案,实施细则,福建|高新技术|企业|实施细则,福建|省级|高新技术,企业|备案|实施细则
企业,开展,工作,组织|年度|高新技术|企业,批|省级|高新技术,组织|开展|2018|年度|第一|企业|备案|工作
企业,开展,工作,组织|2018年|福建省|技术|先进型|企业,先进型|服务,组织|开展|2018年|福建省|技术|企业|认定|工作
企业,开展,工作,组织|年度|高新技术|企业,年度|高新技术,组织|开展|2018|企业|认定|工作
企业,开展,工作,组织|2018年|科技|小巨人|领军|企业,领军,组织|开展|2018年|科技|小巨人|企业|遴选|和|认定|工作
风险,发布,指南,国家|计划|公共安全|风险|年度|项目|指南,公共安全,发布|国家|重点|研发|计划|风险|防控|与|技术装备|重点|专项|2018|年度|第一|批|项目|申报|指南
企业,认定,办法,福建省|技术|先进型|企业|办法,先进型|服务,福建省|技术|企业|认定|管理|办法
人才,开展,工作,2017年|人才|计划,2017年|创新,开展|人才|推进|计划|申报|推荐|工作
空,下达,经费,2017年|企业|经费,空,下达|2017年|企业|研发|投入|预|补助|经费
空,下达,专项资金,年度|科技|小巨人|领军|企业|费用|专项资金,空,下达|2017|年度|科技|小巨人|领军|企业|研发|费用|加计|扣除|奖励|专项资金
组织,申请,补助,组织|年度|科技,空,组织|申请|2018|年度|科技|创新|券|补助
组织,申报,项目,组织|2017年|天地|后|项目,空,组织|申报|2017年|星创|天地|建设|后|补助|项目
企业,公布,名单,2016年|省|科技|小巨人|领军|企业|名单,省|领军,公布|2016年|科技|小巨人|企业|培育|名单
组织,申报,项目,组织|2017年|省|科技|专题|项目,空,组织|申报|2017年|省|科技|重大|专项|专题|备选|项目
交易,参加,事项,组织|中国|海峡|项目|成果|交易|科技|展团|事项,成果,组织|参加|中国|？|海峡|项目|交易|会|科技|展团|活动|有关|事项
补助,下达,计划,2016年|省|科技|企业|孵化器|用房|补助|平台|项目|计划|经费,用房|平台,下达|2016年|省|科技|企业|孵化器|新增|孵化|补助|及|认定|资助|项目|计划|和|经费
空,组团,博览会,中国|北方|国际|科技|博览会,空,组团|参加|第十三|届|中国|北方|国际|科技|博览会
空,做好,大赛,中国|福建,空,做好|第五|届|中国|创新|创业|大赛|暨|第四|届|福建|创新|创业|大赛|报名|工作
资金,项目管理,暂行办法,科技|资金|暂行办法,创新|联合,科技|资金|项目管理|暂行办法
空,项目,软科学,福建省|年度|新能源|汽车|后|软科学|计划|项目,空,福建省|申报|2016|年度|新能源|汽车|研发|后|补助|和|软科学|研究|等|计划|项目
组织,申报,项目,组织|年度|省|科技|计划|项目,空,组织|申报|2017|年度|省|科技|计划|项目
企业,开展,通知,组织|2016年|科技|小巨人|领军|企业|通知,领军,组织|开展|2016年|科技|小巨人|企业|遴选|和|认定|工作|通知
空,征集,空间,2016年|福建省|众创|空间,空,征集|2016年|第一|批|福建省|众创|空间
第二批,公示,企业名单,2015年|福建省|科技型|企业名单,2015年,公示|第二批|拟|备案|福建省|科技型|企业名单
项目,新增,通知,年度|福建省|科技|企业|孵化器|用房|补助|科技|平台|项目|通知,空,2016|年度|福建省|科技|企业|孵化器|新增|孵化|用房|补助|及|科技|创新|平台|认定|资助|项目|申报|的|补充|通知
空,补助,暂行办法,福建省|科技|暂行办法,空,福建省|科技|创新|券|补助|管理|暂行办法
空,下达,计划,2015年|科技|项目|计划|经费,空,下达|2015年|科技|重大|专项|项目|计划|和|经费
文化产业,发展,专项资金,组织|2019年度|文化产业|专项资金,2019年度,组织|申报|文化产业|发展|专项资金
文化,申报,企业,组织|年度|福建省|文化|重点|企业,福建省,组织|申报|“|2018-2019|年度|文化|出口|重点|培育|企业|”
组织,参加,事项,组织|首届|中国|国际|博览会|福建省|交易团|事项,空,组织|参加|首届|中国|国际|进口|博览会|福建省|交易团|招商|采购|等|有关|事项
空,做好,工作,2018年|中央|贴息,空,做好|2018年|中央|进口|贴息|申报|工作
专项资金,促进,发展,2018年|服务业|专项资金,空,2018年|省级|促进|商贸|服务业|发展|专项资金|使用|和|管理
空,要求,资金,2018年|市场|资金|要求,空,2018年|市场|运行|调节|及|应急|资金|使用|要求
业,促进,措施,家政|措施,服务,促进|家政|业|发展|八|条|措施
空,支持,行,企业|2018年|货|华夏|行|展洽会,空,支持|企业|参加|2018年|闽|货|华夏|行|和|服务|贸易|展洽会
企业,做好,工作,企业,外经贸,进一步|做好|企业|助|保|贷|有关|工作
商务,做好,工作,2016年|电子|商务|专项资金,电子,做好|2016年|促进|商务|发展|专项资金|申报|工作
业,加快,发展,,融资,加快|租赁|业|发展
市场,做好,工作,我省|2015年|市场,我省|2015年,做好|市场|运行|和|消费|促进|工作
经济,发展,项目,符合条件|2018年|福建省|数字|经济|专项资金|项目,数字,符合条件|的|2018年|福建省|经济|发展|专项资金|拟|扶持|项目
空,风电,空,以来|风电|项目,空,拟|废止|的|“|十二五|”|以来|风电|、|光伏|发电|项目
文化交流,贯彻,意见,福建省|两岸|经济|文化交流|措施|意见,经济,福建省|贯彻|〈|关于|促进|两岸|文化交流|合作|的|若干|措施|〉|实施|意见
组织,申报,中心,组织|2018年|工程|中心,空,组织|申报|2018年|省级|工程|研究|中心
体系,培育,计划,现代|产业|体系|产业|计划,建设|产业,现代|体系|培育|千亿|产业|集群|推进|计划
经济,申报,项目,组织|2018年|福建省|数字|经济|专项资金|贷款|贴息|项目,数字,组织|申报|2018年|福建省|经济|发展|专项资金|贷款|贴息|项目
空,建设,重大项目,2018年|福建|海洋|省|重大项目,空,2018年|福建|海洋|强|省|重大项目|建设
空,建设,重大项目,2018年|福建|海洋|省|重大项目,空,2018年|福建|海洋|强|省|重大项目|建设
经济,加快,发展,福建省|经济,空,福建省|加快|共享|经济|发展
空,做好,申报,2018年|石墨烯|技术|产业|项目,空,做好|2018年|石墨烯|技术|研发|和|产业|发展|储备|项目|申报
福建省,推进,改革,福建省|价格|机制,空,福建省|推进|价格|机制|改革
空,项目,空,组织|2016年|互联网|工程|中央预算|内|项目,空,组织|申报|2016年|“|互联网|+|”|重大|工程|中央预算|内|投资|项目
重点项目,申报,项目,福建省|2016年|省|重点项目|项目,省,福建省|申报|2016年|参照|重点项目|管理|的|项目
福建省,征选,机构,福建省|试验区|信用|机构,空,福建省|征选|自|贸|试验区|第三|方|信用|服务|机构
技术,组织,联合,2016年|产业|技术,2016年|产业,组织|实施|技术|联合|创新|专项
管理机构,征选,基金,福建|管理机构|基金,创投,福建|发改委|公开|征选|管理机构|组建|省级|创投|基金
空,认定,平台,2015年|福建省|互联网|经济|重点|公共服务|平台,空,认定|2015年|福建省|互联网|经济|重点|公共服务|平台
空,组建,基地,福建省|智能|行业|技术开发|基地,空,组建|福建省|智能|制造|等|行业|技术开发|基地
空,开展,审计工作,2015年|企业|开拓市场|项目|审计工作,空,开展|2015年|省级|支持|企业|开拓市场|项目|专项|审计工作
物流业,申报,项目,组织|2015年|福建省|工商|物流业|资金|项目,空,组织|申报|2015年|福建省|工商|流通|发展|专项|—|物流业|发展|资金|项目
无纸化,公告,业务范围,扩大出口|无纸化|业务范围|公告,空,扩大出口|退税|无纸化|申报|业务范围|的|公告
企业,转,270多万,企业|股份|左手|右手|企业,空,企业|股份|左手|转|右手|也|须|缴税 闽侯|企业|补|270多万
福建省,转发,工作,福建省|环保部|项目|储备库,空,福建省|转发|环保部|开展|“|十三五|”|环保|投资|项目|储备库|建设|工作
名牌产品,滚动,计划,福建|名牌产品|三年|计划,福建,名牌产品|三年|滚动|培育|与|发展|计划
空,申报,经费,年度|福建省|经费,空,申报|2018|年度|第二批|福建省|标准化|工作|专项|补助|经费
组织,申报,质量奖,组织|年度|福建省政府|质量奖,空,组织|申报|2018|年度|福建省政府|质量奖
工作,申报,经费,福建省|经费,2016年度|批|标准化,福建省|申报|第一|工作|专项|资助|经费
政府,公布,清单,福建省|政府|经营服务性|目录|清单,空,公布|福建省|实行|政府|定价|管理|的|经营服务性|收费|目录|清单
空,服务指南,空,福建省|农民工|职业技能|政策|服务指南,空,福建省|农民工|职业技能|培训|政策|服务指南
红娘,开展,行动,红娘|毕业生,就业|“|”,开展|红娘|帮扶|就业|困难|毕业生|就业|专项|行动
信息,做好,工作,毕业生|信息,毕业生,做好|高校|信息|衔接|工作
用人单位,开展,检查,用人单位|法律法规|情况,空,开展|用人单位|遵守|劳动|用工|和|社会保险|法律法规|情况|专项|检查
空,开展,情况,政策|情况,空,开展|就业|创业|政策|落实|情况|督查|调研
基地,申报,建设项目,福建省|2016年|毕业生|基地|建设项目,毕业生|创业|孵化,福建省|申报|2016年|高校|基地|支持|建设项目
福建省,开展,工作,福建省|2016年|享受政府|特殊津贴|人员选拔,空,福建省|开展|2016年|享受政府|特殊津贴|人员选拔|工作
福建省,开展,工作,福建省|2016年|享受政府|特殊津贴|人员选拔,空,福建省|开展|2016年|享受政府|特殊津贴|人员选拔|工作
企业,关切,政策,企业|营商|环境|政策,聚焦,企业|关切|进一步|推动|优化|营商|环境|政策|落实
空,做好,工作,当前|今后|时期,空,进一步|做好|当前|和|今后|一个|时期|促进|就业|工作
空,深化,措施,措施,空,深化|产|教|融合|十五|条|措施
空,标准,空,电力设施|标准,空,电力设施|建设|补偿|标准
民营企业,加快,发展,民营企业,空,加快|民营企业|发展
空,推进,措施,中国|自由贸易|试验区|措施,空,进一步|推进|中国|自由贸易|试验区|改革创新|三十五|条|措施
空,推行,制度,终身|职业技能|制度,空,推行|终身|职业技能|培训|制度
空,推进,改革,全省|工程建设|项目|制度,空,推进|全省|工程建设|项目|审批|制度|改革
空,行动计划,空,福建省|蓝天|保卫战|三年|行动计划,空,福建省|打赢|蓝天|保卫战|三年|行动计划
企业,压缩,时间,企业|时间,空,进一步|压缩|企业|开办|时间
服,深化,方案,全省|政府职能|重点|任务|方案,“|放管|”,全省|深化|服|改革|转变|政府职能|重点|任务|分工|方案
空,推进,措施,七条|措施,空,进一步|推进|创新|驱动|发展|七条|措施
空,做好,措施,措施,空,进一步|做好|促进|就业|工作|十七|条|措施
中小企业,支持,措施,全省|措施,全省,进一步|支持|中小企业|发展|十|条|措施
空,通报,空,2018年|第三季度|全省|政府|网站|情况|通报,空,2018年|第三季度|全省|政府|网站|抽查|情况|的|通报
高质量,促进,发展,开发区|高质量,开发区,促进|高质量|发展
空,实施,意见,企业家|健康成长|环境|企业家|精神|企业家|作用|意见,空,关于|营造|企业家|健康成长|环境|弘扬|优秀|企业家|精神|更好|发挥|企业家|作用|的|实施|意见
空,做好,拥军优属,八一|期间,空,做好|“|八一|”|期间|拥军优属|拥政爱民|工作
空,开展,绩效考核,年度|设区市|平潭|实验区|互联网|政务|绩效考核,空,开展|2018|年度|设区市|及|平潭|综合|实验区|“|互联网|+|政务|服务|”|绩效考核
组织,开展,工作,组织|项目,空,组织|开展|固定资产|投资|项目|节能|审查|自查自纠|工作
畜禽,生产,办法,福建省|畜禽|许可证|办法,福建省|种,畜禽|生产|经营|许可证|审核|发放|办法
空,保障,意见,城市轨道|交通安全|意见,空,保障|城市轨道|交通安全|运行|意见
福建省,推进,统筹,福建省|资金,空,福建省|推进|涉农|资金|统筹|整合
空,开展,批复,福州市|城市|行政处罚权,空,在|福州市|进一步|开展|城市|管理|相对|集中|行政处罚权|工作|的|批复
空,改革,空,福建省|产权制度,空,福建省|自然资源|产权制度|改革
空,设区市,目标,平潭|实验区|耕地|责任|目标|考核办法,空,设区市|人民政府|和|平潭|综合|实验区|管委会|耕地|保护|责任|目标|考核办法
